2026-09-21T11:47:00+00:00	100.0	100.0
2026-09-21T12:47:00+00:00	100.0	100.0
2026-09-21T13:47:00+00:00	100.0	100.0
2026-09-21T14:47:00+00:00	100.0	100.0
2026-09-21T15:47:00+00:00	100.0	100.0
2026-09-21T16:47:00+00:00	100.0	100.0
2026-09-21T17:47:00+00:00	100.0	100.0
2026-09-21T18:47:00+00:00	100.0	100.0
2026-09-21T19:47:00+00:00	100.0	100.0
2026-09-21T20:47:00+00:00	100.0	100.0
2026-09-21T21:47:00+00:00	100.0	100.0
2026-09-21T22:47:00+00:00	100.0	100.0
2026-09-21T23:47:00+00:00	100.0	100.0
2026-09-22T00:47:00+00:00	100.0	100.0
2026-09-22T01:47:00+00:00	100.0	100.0
2026-09-22T02:47:00+00:00	100.0	100.0
2026-09-22T03:47:00+00:00	100.0	100.0
2026-09-22T04:47:00+00:00	100.0	100.0
2026-09-22T05:47:00+00:00	100.0	100.0
2026-09-22T06:47:00+00:00	100.0	100.0
2026-09-22T07:47:00+00:00	100.0	100.0
2026-09-22T08:47:00+00:00	100.0	100.0
2026-09-22T09:47:00+00:00	100.0	100.0
2026-09-22T10:47:00+00:00	100.0	100.0
2026-09-22T11:47:00+00:00	100.0	100.0
2026-09-22T12:47:00+00:00	100.0	100.0
2026-09-22T13:47:00+00:00	100.0	100.0
2026-09-22T14:47:00+00:00	100.0	100.0
2026-09-22T15:47:00+00:00	100.0	100.0
2026-09-22T16:47:00+00:00	100.0	100.0
2026-09-22T17:47:00+00:00	100.0	100.0
2026-09-22T18:47:00+00:00	100.0	100.0
2026-09-22T19:47:00+00:00	100.0	100.0
2026-09-22T20:47:00+00:00	100.0	100.0
2026-09-22T21:47:00+00:00	100.0	100.0
2026-09-22T22:47:00+00:00	100.0	100.0
2026-09-22T23:47:00+00:00	100.0	100.0
2026-09-23T00:47:00+00:00	100.0	100.0
2026-09-23T01:47:00+00:00	100.0	100.0
2026-09-23T02:47:00+00:00	100.0	100.0
2026-09-23T03:47:00+00:00	100.0	100.0
2026-09-23T04:47:00+00:00	100.0	100.0
2026-09-23T05:47:00+00:00	100.0	100.0
2026-09-23T06:47:00+00:00	100.0	100.0
2026-09-23T07:47:00+00:00	100.0	100.0
2026-09-23T08:47:00+00:00	100.0	100.0
2026-09-23T09:47:00+00:00	100.0	100.0
2026-09-23T10:47:00+00:00	100.0	100.0
2026-09-23T11:47:00+00:00	100.0	100.0
2026-09-23T12:47:00+00:00	100.0	100.0
2026-09-23T13:47:00+00:00	100.0	100.0
2026-09-23T14:47:00+00:00	100.0	100.0
2026-09-23T15:47:00+00:00	100.0	100.0
2026-09-23T16:47:00+00:00	100.0	100.0
2026-09-23T17:47:00+00:00	88.33333333333333	0.0
2026-09-23T18:47:00+00:00	100.0	100.0
2026-09-23T19:47:00+00:00	100.0	100.0
2026-09-23T20:47:00+00:00	100.0	100.0
2026-09-23T21:47:00+00:00	100.0	100.0
2026-09-23T22:47:00+00:00	100.0	100.0
2026-09-23T23:47:00+00:00	100.0	100.0
2026-09-24T00:47:00+00:00	100.0	100.0
2026-09-24T01:47:00+00:00	100.0	100.0
2026-09-24T02:47:00+00:00	100.0	100.0
2026-09-24T03:47:00+00:00	100.0	100.0
2026-09-24T04:47:00+00:00	100.0	100.0
2026-09-24T05:47:00+00:00	100.0	100.0
2026-09-24T06:47:00+00:00	100.0	100.0
2026-09-24T07:47:00+00:00	100.0	100.0
2026-09-24T08:47:00+00:00	100.0	100.0
2026-09-24T09:47:00+00:00	100.0	100.0
2026-09-24T10:47:00+00:00	100.0	100.0
